# Chandra SNR Catalog
# https://hea-www.harvard.edu/ChandraSNR/snrcat_gal.html
Name	Common Name	Position	X-ray Size (arcmin)	Distance
G000.1-00.1	the thread	17 46 21.6 -28 52 56.7	0.8'x0.2'	8
G000.9+00.1	G0.9+0.1	17 47 22.7 -28 09 19.6	1.1'x1.0'	10
G001.9+00.3	G1.9+0.3	17 48 45.4 -27 10 06.2	1.5'x2.0'	8.5
G004.5+06.8	Kepler SNR	17 30 41.2 -21 29 32.2	4.5'x3.7'	5
G005.4+01.2	PSR B1757-24	18 01 00.2 -24 51 27.1	0.1'x0.3'	4.5
G006.4-00.1	W28	18 00 30.0 -23 25 60.0	45'x35'	1.8
G006.4+04.9	PSR J1741-2054	17 41 57.3 -20 54 12.6	point source	0.4
G007.5-01.7	Taz	18 09 37.0 -23 29 26.8	5'x8'	2
G008.3+00.1	PSR B1800-21	18 03 51.4 -21 37 07.4	0.1'x0.1'	5
G010.0-00.3	SGR 1806-20	18 08 39.3 -20 24 39.7	point source	15
G010.9-45.4	PSR J2124-3358	21 24 43.8 -33 58 45.0	0.2'x1.2'	0.41
G011.0+00.0	PSR J1809-1917	18 09 43.1 -19 17 38.2	0.1'x0.2'	4
G011.2-00.3	G11.2-0.3	18 11 29.2 -19 25 26.4	4.5'x4.4'	5
G012.8-00.0	G12.82-0.02	18 13 35.2 -17 49 57.3	2'x2'	5
G014.7+09.1	PSR J1744-1134	17 44 29.4 -11 34 54.9	point source	0.4
G015.9+00.2	G15.9+0.2	18 18 54.4 -15 01 52.9	4.8'x4.8'	8.5
G016.0+00.0	RRAT J1819-1458	18 19 34.2 -14 58 03.6	point source	3
G016.7+00.1	G16.7+0.1	18 20 58.1 -14 20 01.4	1'x1'	10
G017.2+02.4	PSR J1813-1246	18 13 23.8 -12 46 00.3	point source	3
G018.0-00.6	PSR B1823-13	18 26 13.2 -13 34 46.3	0.6'x0.2'	4
G018.4-00.4	the Eel	18 26 08.4 -13 00 24.8	3.5'x5.6'	4
